,Unnamed: 0,название,Год выхода,Жанр,Тип,Количество серий,Описание
721,721, Судьба: Великий Приказ. Первый приказ / Fate/Grand Order: First Order [1 из 1], 2017," приключения, драма, фэнтези", полнометражный фильм, 1 (72 мин.)," В 2015 году научная лаборатория под название Чалдеа зафиксировало аномальное поведение. Свет, который символизировал существование человеческой расы, потихоньку стал угасать.  Это стало причиной для серьезной паники и сотрудники Чалдеа стали активно изучать собранные ими данные в период с 2004 по 2015 года. Выяснилось, что на Земле существовало место, которое ни разу в жизни не попадало в поле зрение лаборатории. Ученые пришли к выводу, что это и стало причиной вымирания человечества, ведь до угасания, люди были уверены, что ближайшие сотню лет мужчинам и женщинам Земли ничего не угрожает. Чалдеа приняли решения задействовать программу ""Рейшивтинг"" суть который, отправить определенных людей (мастеров) в прошлое, именно в место аномалии, чтобы те разобрались что произошло и предоставили данный, которые могли бы спасти человечество. Но в Чалдеа произошел саботаж. 80% лаборатории было выведено из строя, а почти все мастера оказались в критическом состоянии. Но один подросток всё таки прошёл через сингулярность и попал в прошлое, в город Фуюки, где проходила легендарная битва семи слуг за право владением Святым Граалем."
722,722, Наруто OVA-3 / Naruto OVA-3 [1 из 1], 2005," приключения, комедия, боевые искусства", OVA, 1 (26 мин.)," В Конохе состоится самый грандиозный фестиваль за всю историю ее существования. Специальные гости – сильнейшая четверка из деревне скрытой в песке. Но в фестивали приняли участие не только Коноха и Песок. Много других стран так же решили посостязаться. Главный приз – титул лучшего шиноби и победитель получает возможность придумать один закон в деревне скрытой в листве, которому все, будут обязаны подчинится. Правила очень просты - кто больше соберет кристаллов, тот и победил. Каждому из шиноби дается кристалл. В зависимости от ранга у каждого ниндзя кристалл своего цвета. У генинов это синие кристаллы, а у чунинов и джоунинов красные. Наруто как всегда в своем репертуаре. Он хвастается, что все одолеет, даже самого Какаши-сана. После того, как Сакура рассказала ему про приз и закон, глаза Наруто еще больше воспылали. После начала, он то и дело искал Какаши. Прошел мимо многих битв и в каждой шиноби случайно теряли свои кристаллы. Когда он все-таки нашел Какаши, с ним уже сражался Саске. Наруто был недоволен и хотел ему врезать за это. Но слова учителя, дали им обоим небольшого пинка. Теперь они, работая в команде, сами попытаются отнять у него кристалл."
723,723, Судьба: Девочка волшебница Илия / Fate/kaleid liner Prisma Illya [1-10 из 10], 2013, приключения, ТВ, 10 (25 мин.), Жизнь девушки Илии мирная и спокойная. Она живет со своей семьей
724,724, Наруто (фильм пятый) / Gekijouban Naruto Shippuuden: Kizuna [1 из 1], 2008," приключения, комедия", полнометражный фильм, 1 (93 мин.)," На страну Огня, а в частности на Деревню Скрытую в Листве нападет неизвестный противник. Его стремительная атака с воздуха не дает даже малейшего шанса Конохе устоять. Они разрушают дома и убивают множества прекрасных ниндзя. Но их атака не была длительной, они быстро мягко говоря нашкодили и улетели. По предположением пятой Хокаге - Цунаде-сама, это была атаку уничтоженной ранее страны Неба. Во времена второй великой войны шиноби, эта страна славилась тем, что используя чакру и специальные аппараты могла покорять воздух. Но как бы хороши они не были, Коноха уничтожила их. По все видимости не до конца, ведь эта атака была как символ мести и заявление о том, что страна Неба жива и сильная. После атаки в деревни Шикамару придумал план контратаки и даже вычислили их местоположение. В деревни было много раненых и объявился неизвестный старик, который всем оказывал первую медицинскую помощь. Оказалось, что он был знаменитым врачом - Шинно-сама. В деревни он оказался случайно. Про то что он здесь прознала молодая девушка, его бывшая ученица - Амару. В ее деревни сейчас эпидемия и она искала своего старого наставника, чтобы он помог. Так Наруто, Сакура, Хината и эти двое отправляются в деревню Амары на помощь. В путешествие узнается, что старик вовсе был не добродушным врачом, а лидером страны Неба. Это он организовал нападения и ответственен за все. В Конохи он нашел свиток, который пробуждает древнюю силу безхвостого зверя - темную чакру, которую питает тьма в сердцах людей. Наруто в очередной раз придется спасти весь мир, но на этот раз ему поможет его дорой, сбежавший друг Саске."
725,725, Наруто (фильм шестой) / Gekijouban Naruto Shippuuden: Hi no Ishi o Tsugu Mono [1 из 1], 2009," приключения, комедия", полнометражный фильм, 1 (96 мин.)," Последнее время в мире стали часто пропадать шиноби с улучшенным геномом. Пропало четверо бойцов, по одному из каждой пяти великих наций. Коноха отправила команду №7 в разведку, чтобы те отследили где заканчиваются следы этих пропавших шиноби. Так им выяснить толком ничего не удалось. Вернувшийся они занялись само лечением, ведь Наруто и Сай получили серьезные раны. Пока они лежали в больнице, противник не стал ждать. Он применил технику проекции и рассказал все нациям кто он и чего добивается. Его звали Хирока. Он бывший шиноби Конохи. Давным давно он покинул ее и углубился в изучение тайной техники Химера. Техника была способна выкорчевывать улученный геном из других ниндзя и внедрять в себя. Таким образом Хирока изучил технику вдоль и поперек. С ее помощью он уже поглотил геномы четырех шиноби, которые пропали, но на этом его цель не была достигнута. Для самоидеализации ему был необходим пятый геном, тогда он станет совершенным и бессмертным. В связи с этим он объявляет четвертую войну шиноби и как только достигнет своей цели, он уничтожить все пять наций. Доверия к Конохе пошатнулось. Так как ниндзя был из этой деревни, все подумали, что именно они были ответственны и Коноха была на гране войны. Какаши нашел решение всех этих проблем. Именно он был тем ниндзя с улучшенным геномом, который был нужен Хироки. Он попросил пятую наложить на его шаринган специальную печать, которая активирует глаз так, что он поглощает все что вокруг есть в нужный момент. После чего Какаши подвергся техники подчинения и ушел из деревни. Это было настоящие самопожертвование ради деревни и всем в Конохе было запрещено его преследовать. Но, разве Наруто остановит? Ему все равно на запреты и план он спасет Какаши несмотря не на что!"
726,726, Наруто (фильм седьмой) / Gekijouban Naruto Shippuuden: The Lost Tower [1 из 1], 2010," приключения, боевые искусства", полнометражный фильм, 1 (85 мин.)," На границах страны ветра есть одно место, руины, которые зовутся Роураном. В недалеком прошлом, лет двадцать назад, вместо руин был огромный город посреди пустыни. Сейчас же там много метров песка, а за ними одна башня. Дело в том, что под Роураном хранится очень могущественная сила - Риомьяку. Это сила выражается в бесконечной чакре и может натворить много бед. Когда четвертый Хокаге был жив, он с помощью своих техник запечатал эту силу и весь город. Недавно, из Деревни Скрытой в Песке сбежал ниндзя отступник - Мукаде. Он хочет завладеть этой силой и подчинить пять великих наций с помощью своих марионеток. Коноха решила помочь союзникам в поимке злодея. Хокаге дала задание Наруто, Сакуре, Саю и Ямато, найти и ликвидировать Мукаде. Когда они его нашли было уже слишком поздно. Мукаде смог поглотить печать четвертого, но получил не то что ожидал. При поглощение активировалась межпространственная техника и Наруто вместе с Мукаде переместились в прошлое. Наруто очнулся в незнакомом месте и решил оглядеться. На него напали неизвестные марионетки и его спас отряд из Конохи. Он состоял из Минато, отца Чоуджи и отца Шино Абураме. Они объяснили ему что это за место. Так же Наруто познакомился с местной принцессой и от нее он узнал, что 6 лет назад к ним прибыл человек из будущего - Анро Кузан и уговорил королеву Роурана освободить силу Риомьяку, чтобы сделать город лучше. После чего он убил ее и в тайне от наследницы заменял людей города марионетками. Теперь Наруто предстоит избавится от этого типа, снова запечатать силу Риомьяку и вернутся назад в будущие."
727,727, Наруто (фильм восьмой) / Gekijouban Naruto: Blood Prison [1 из 1], 2011, приключения, полнометражный фильм, 1 (102 мин.)," Когда-то давно, еще во времена Рекуда Саннина, Деревня Скрытая в Траве, с помощью ящика невероятного блаженства чуть не захватила весь мир. Этот ящика по легенде мог исполнять любые желания. Но в один прекрасный момент деревни просто не стало, сила ящика была запечатана, а мир спасен. После такого провала оставшейся горстка деревни травы разделилась на два внутренних лагеря. Те кто снова хотели освободить силу ящика (фруктовый лагерь), и те кто желали его уничтожить (цветочный лагерь). Сам ящик был запечатан в замке Хозука, ныне который был тюрьмой. Управлял там всем лидер фруктового лагеря Муи. В эту тюрьму отправляли шиноби, чьи деревни отказывались от них за определенные косяки. Из тюрьмы невозможно было сбежать, так как Муи накладывал на всех огневую технику Небесных врат. Это печать, которая сдерживает чакру и не дает преступнику далеко отойти от Муи. Так Коноха и Скрытое Облако объединили силы и встали на сторону Цветочного лагеря. Они хотели похитить ящик и уничтожить его, ну случилось неожиданное. На Райкаге-сама нападает Узумаки Наруто. После этого, Цунаде принимает решение наказать Наруто и отправить его в тюрьму Хозука. Там на него накладывают печать Небесных врат и он остается без чакры, но не оставляет попыток выбраться. Позже он узнает, что его арест был подстроен Муи-сама. Для того, чтобы открыть врата, за которыми находиться ящик блаженства, необходимо много сильной чакры и Наруто подходит как нельзя лучше. Так нашему герою придется доказать, что он не виновен и остановить Муи."
728,728, Наруто (фильм девятый) / Naruto the Movie: Road to Ninja [1 из 1], 2012," приключения, фэнтези", полнометражный фильм, 1 (109 мин.)," Главным злодеям девятого полнометражного фильма про Наруто станет Тоби. Он создал технику ограниченного Цукуёми, что-то на подобие демо версии вечного Цукуёми и применил ее на Сакуре и Наруто. После чего они перенеслись в абсолютно тот же мир, только главные герои там зеркальная противоположность своих настоящих. К примеру Какаши-сан стал очень активным, а Гай-сан подвергся самой высшей форме лени. Шикамару отупел, Чоуджи похудел, Шино ненавидит жуков, а Сай рисует как курица лапой. Такие изменения произошли в каждом герое. Самое удивительное, что каждый из них уверено ведет себя не так как раньше. Это совершенно другие люди созданные Тоби. Самое главное, что родители Сакуры погибли 16 лет назад и стали героями деревни, а мама и папа Наруто живы и невредимы. Ребята не долго гадали, что с ними произошло и пока искали ответы на свои вопросы вдоволь успели насладиться той жизнью о которой они мечтали в своем настоящем мире. Удастся ли им выбраться? Посмотрим..."
729,729, Тетрадь Хинако / Hinako Note [1-12 из 12], 2017," комедия, повседневность", ТВ, 12 (25 мин.)," Говорят, что собака - лучший друг человека. А у Хины таких друзей - весь животный мир. Непонятно, что же такого привлекательного находят в этой девочке зверушки, но факт остаётся фактом - лишь завидев её на своём пути, животные самых разных пород и видов устремляют свои лапы навстречу к Хине. Но девчушка и не против вовсе, ведь с животными ей куда комфортнее, нежели чем с людьми. Да и подработка ей нашлась в связи с этим - местные жители просят Хину работать анти-пугалом, отвлекая зверей от поедания их урожая. Повзрослев, Хинако захотела побороть свою интровертность и решила действовать кардинально. Она переезжает из своей деревушки в Токио и намеревается вступить в театральный клуб. Да вот только, как назло, театральный клуб в её школе закрывается. А сама Хинако обнаруживает себя в странной ситуации"
730,730, Семь жизней чёрного кролика / Itsuka Tenma no Kuro Usagi [1-12 из 12], 2011," приключения, мистика, романтика, школа", ТВ, 12 (25 мин.)," Тайго Куроганэ — красивый парень, подтянутый и статный, с детства занимающийся каратэ. Для него женское внимание уже стало обычным явлением, поэтому, когда в школе Миясака его прозвали красавчиком, он и бровью не повел. Для скромной девушки по имени Харуки такой милашка, конечно, не по зубам, а вот зачем этим парнем заинтересовался президент школьного совета Гэкко Курэнай, также известный как редкостный псих и человек большой самооценки. И очень скоро понял, что не зря. Тем прекрасным вечером, разговор с Гэкко закончился для Тайго довольно печально  - ему оторвали голову, но мир теперь стал для парня немного шире. Вы позже поймете, почему. Расскажу вам пока что сказочку о братьях Гэкко и Хината. Жили, не тужили, да только править в королевстве мог лишь один. Тут-то и проявился гнилостный нрав Хинаты — он рванул на сторону Тьму, принеся в дар силам небесным своих родителей. Решение ожидала теперь Гэкко"
731,731, Моя первая гяру / Hajimete no Gal [1-10 из 10] [OVA 1 из 1], 2017," комедия, этти, романтика, школа", ТВ, 10 (25 мин.)," В школе народ обычно делится на две категории. В первой - задроты и ботаники, а во второй народ попроще, без закидонов. Обычным ребятам, которые не испытывают никаких трудностей с общением, проще простого найти себе пару и как следует насладиться первой юношеской любовью. У задротов и ботаников с этим дело обстоит на порядок хуже, но ведь они такие же люди, а значит гормоны бьют ключом. Но им остаётся лишь мечтать и фантазировать об отношениях с противоположным полом, ведь обычная девушка в их сторону если и посмотрит, то только с презрением. Шестнадцатилетний Джуничи Хашиба как раз в таком возрасте. Ему бы уроки делать, да к экзаменам готовиться, а он только и думает о том, как бы ему девственности побыстрее лишиться. Добрые друзья решили подколоть его и буквально заставили признаться в любви их красивой однокласснице-гяру Юкане Ямэ. Но кто бы мог подумать, что она действительно согласится встречаться с ним! Фантазии Джуничи наконец начинают сбываться, но непонятно, сладкий ли это сон или же жуткий кошмар."
732,732, В другом мире со смартфоном / Isekai wa Smartphone to Tomo ni [1-12 из 12], 2017," приключения, комедия, фэнтези, романтика", ТВ, 12 (25 мин.)," Если вы думаете, что Бог непогрешим, всемогущ и всегда прав, то это аниме заставит вас в этом разувериться. Даже боги не застрахованы от ошибок! Всё же, работа у них сложная, круглосуточная и без выходных, за каждым человеком попробуй-ка уследи. Ещё и желания всякие требуют исполнять, а молоко за вредность не дают! Вот и идёт голова кругом от этих неутомимых верующих. Смерть паренька по имени Мочизуки Тоя стала неожиданностью для всех, в том числе и для самого Бога. Вернуть всё, как было, он не может, а вину свою перед парнем загладить хоть как-то, но надо. Поэтому и предложил Бог Тое сделку"
733,733, Новая игра! (второй сезон) / New Game! Second Season [1-12 из 12], 2017, комедия. повседневность, ТВ, 12+ (25 мин.)," Все мы любим в свободное время играть в компьютерные игры, мы пользуемся конечным продуктом, но мало кто задумывается о том, как же на самом деле они создаются. Это аниме приоткроет нам завесу тайны и покажет весь процесс от начала и до самого конца! Началось всё в прошлом сезоне, когда выпускница старшей школы Аоба Сузуказэ, вдохновлённая с самого детства игрой ""История Феи”, пришла устраиваться на работу в компанию ""Игл Джамп”, которая и сотворила когда-то эту игру. Каково же было удивление Аобы, когда она узнала, что её не только берут на работу, но и дают возможность поработать над второй частью легендарной ""Истории Феи”! Так и началась её увлекательная жизнь, полная восхищений от встреч с кумирами, суматошных будней и не менее беспокойных ночей в попытках уложиться к дедлайну. В конце сезона вторая часть ""Истории Феи” всё-таки вышла в свет и встретила восторженные отзывы от поклонников. Проект закончился, а это значит, что пора начинать следующий! Какую же новую игру представит нам дружная команда ""Игл Джамп” на этот раз?"
734,734, Танец мечей / Katsugeki: Touken Ranbu [1-13 из 13], 2017," фэнтези, приключения", ТВ, 13 (25 мин.)," На прошлое принято оглядываться, чтобы чему-то научиться на ошибках наших предков. Прошлое задокументировано в учебниках истории. Мы можем лишь изучать его и делать свои выводы, чтобы на их основе построить наше будущее. Конечно, каждый из нас задумывался о том, что бы случилось, если бы прошлое можно было изменить. Но это лишь фантазии, никто не думает об этом всерьёз. Однако в недалёком будущем, всего через какие-то две сотни лет, такое стало возможным. Итак, перенесёмся в 1863 год, когда Япония оказалась расколота на сторонников и противников Сёгуната. Страна находится на грани гражданской войны, как вдруг из будущего прилетает армия ревизионистов, которые намерены изменить ход истории. Чтобы защитить наследие предков и оставить всё, как есть, вслед за ними бросаются Хорикава Кунихиро и Изуминоками Канесада. Это настоящие легендарные мечи в облике человека, души которым даровал мудрец Санива. Теперь судьба истории в их руках, и им предстоит остановить вторжение любителей переписать прошлое."
735,735, Сотня / Hundred [1-12 из 12], 2016," фантастика, меха, этти, романтика, школа", ТВ, 12 (25 мин.)," Во все времена человечеству нужны герои, а во времена лишений и опасностей — подавно. Когда на Земле неожиданно появилась новая загадочная форма жизни, угрожающая людям возможным уничтожением, они отыскали способ постоять за себя при помощи необычного оружия, известного как «Сотня». Владеть этим оружием может не каждый, и бойцов обучают в специальном заведении, где юноши и девушки могут бросить друг другу вызов и отточить в дуэли приобретенные навыки. Хаято Кисараги, мечтающий стать признанным мастером боевых искусств и при помощи «Сотни» защищать себя и всех людей от незваных гостей, сумел поступить на обучение в боевой университет. В его стенах Хаято ждали два занимательных сюрприза. Во-первых, комнату ему предстоит делить с загадочной девушкой, которая его откуда-то знает, а во-вторых, сразу же после церемонии поступления ему поступил вызов на дуэль от сильнейшего бойца университета. Похоже, с первых же дней нашему герою придется доказывать окружающим и самому себе, что судьба у него необычная."
736,736, Игра Джокера / Joker Game [1-12 из 12], 2016," приключения, сёнэн", ТВ, 12 (25 мин.)," Настоящая власть в руках тех, кто обладает и умеет распоряжаться ценной информацией. Поэтому неудивительно, что в имперской Японии незадолго до начала II Мировой войны было организовано тайное «Агентство D», готовившее разведчиков высшей категории. Подполковник Юки, основавший эту организацию, был человеком с внушительным опытом и обладал определенными идеалами, которые диктовали ему выбор кадров. При подборе людей, подходящих для нелегкой работы шпиона, Юки ориентировался на их личностные качества и не ограничивался выпускниками военных академий. Агенты, прошедшие подготовку под его чутким руководством, должны были стать превосходными манипуляторами, способными послужить на благо организации и всей страны. Проблема в том, что порой люди, у которых, казалось бы, общая цель, не желают работать сообща и заинтересованы, в первую очередь, в собственной выгоде. Это история о том, как агент, известный как Джиро Гамо, пустился в погоню за документами под названием «Черные записки» и столкнулся с противодействием могущественных сил."
737,737, Клест / Isuca [1-10 из 10] [OVA 1 из 1], 2015," комедия, приключения", ТВ," 10 (25 мин.), OVA 1 (25 мин.)"," Не так давно жизнь Шиничиро Асано, учащегося на втором курсе старшей школы, резко изменилось. Его родители, не особо успешный фокусник и его ассистентка, ничуть не переживая о судьбе любимого сына, снялись с насиженного места и отправились за границу в продолжительные гастроли. Шиничиро вырос самостоятельным парнем, способным за собой поухаживать, и поначалу, пока блудные родители присылали ему деньги на жизнь, все шло неплохо, но со временем они совсем забыли о своем отпрыске, и пришлось ему задуматься о подработке. Решение проблемы нашлось случайно"
738,738, Герой при заклятом враге / Maoyuu Maou Yuusha [1-12 из 12], 2013," комедия, фэнтези, романтика", ТВ, 12 (25 мин.)," С самого начала существования жизни люди и демоны не могли ужиться друг с другом. Все их конфликты превращались в войны, которые честным людям не приносили ничего хорошего. Другим же, как демоны так и люди, нашли в войне некую прелесть и делали все, чтобы она не кончалась. В действительности во время войны люди больше покупают, больше медицинских услуг требуется и много чего еще. На этом можно не плохо заработать и в обоих мирах война стала двигателям торговли. Последний пятнадцатилетний конфликт подходил к концу, так как объявился Герой способный одолеть зловещего Князя Тьмы. Он вместе со своими верными помощниками достиг пристанища зла и в одиночку отправился за головой своего врага. Но все пошло не так как он репетировал перед зеркалом. Зло оказалось совсем не злом, а милой и прекрасной демонессочкой с великолепными формами. Всем видом она показывала что не хочет сражатся, а наоборот как и Герой хочет достигнуть абсолютного мира. Она открыла ему глаза на правду о том, что такое война на самом деле и Герой ей поверил. Он принял ее предложение объединится и вместе найти идеальное решение, которое бы раз и навсегда положило конец всяким распрям!"
739,739," По правде говоря, я... / Jitsu wa Watashi wa [1-13 из 13]", 2015," школа, сёнэн, фэнтези, комедия, романтика", ТВ, 13 (25 мин.)," У всех свои недостатки, и Асахи Куроминэ не исключение. Но если другие люди способны скрывать свои недостатки, то для Асахи это в принципе невозможно – его главная проблема в полной неспособности хранить секреты и скрывать эмоции. Что постоянно портит ему жизнь"
740,740, Гинтама (фильм первый) / Gekijouban Gintama: Shinyaku Benizakura Hen [1 из 1], 2010," приключения, комедия", полнометражный фильм, 1 (96 мин.)," Фильм снят по мотивам нашумевшего ТВ-сериала, причем как таковых особых различий не наблюдается. Немного добавлены моменты, которые проливают свет на происходящее, поэтому эти мелочи заметны, приятны, интересны и немного связывают те места, которые до просмотра фильма были загадкой. Главное в фильме – великолепная рисовка, отличная графика и все тот же привычный и любимый сюжет. Что касаемо боев – то прорисованы они качественно и очень четко повторяют те, которые демонстрировались в основном сериале. Пришельцы Аманто захватили власть над Землей, запретили мечи и всячески попытались уничтожить истинный дух самураев. Но конечно же, нашелся герой – Гинтоки Саката, который организовал свою группу из очкарика Симпати и красавицы и воина Кагуры. Сюжет крутиться вокруг клинка ""Бенизакура"", который был похищен у одной семьи. Гинтоки и его команда расследует это происшествия, впутываясь в очень серьезную игру"
741,741, Гинтама (фильм второй) / Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare [1 из 1], 2013," приключения, комедия", полнометражный фильм, 1 (110 мин.)," Новый полнометражный фильм рассказывает историю о Гинтоки Сакате, которые попал в будущее. Главный герой перенесся на пять лет вперед, туда, где его считают погибшим, а близкие друзья изменились на столько, что их невозможно узнать. Его «Ёрозуя» распалась и все происходящее вокруг больше похоже на какой-то хаос, чем на реальность. Пущего ужаса всей ситуации добавляет неизвестный вирус, который уничтожил много населения, а оживленные районы города превратил в руины. Гинтоки должен разобраться зачем он здесь, действительно ли это его будущее или альтернативная реальности и есть ли способ все исправить. Постепенно в течении фильма все подробности будут раскрыты, а зрители получат ответы на вопросы, которые действительно удивят. Главное, что есть в этом фильме – все тот же дух «Гинтамы», с колкими шутками, пародиями и сарказмом. Плавные переходы от драматических сцен к юмористическим, отлично прорисованные бои и качественная графика фильма не оставит зрителей равнодушными. Так что геройские подвиги друзей продолжаются, а полюбившиеся всем герои все такие же, как и прежде"
742,742, Моб Психо 100 / Mob Psycho 100 [1-12 из 12] [OVA 1 из 1], 2016," школа, романтика, повседневность, фантастика, комедия", ТВ, 12+ (25 мин.)," Духи. Злые духи, добрые духи, духи пацифисты. Они наполнили этот мир и стали обыденным, как воздух. Только вот люди с воздухом не сражаются, да воздух и вреда не приносит, а в этом же мире духи ой как любят бедокурить. Специально для их усмирения среди людей нашлись те, кто назвали себя Экстрасенсами и по велению руки изгоняли призраков из мест обитания обычных людей. Таким экстрасенсом и являлся наш главный герой по прозвищу Моб. Моба на самом деле зовут Кагеяма Сигэо. Он самый обычный восьмиклассник, несмотря на то что с раннего детства поднимал вещи в воздух силой мысли и гнул ложки. Сейчас Моб особо не пользуется своей силой в повседневности, так как не хочет тревожить одноклассников. По большей части одну девушку, в которую он влюблен. После школы Моб обучается контролю своей силы у одного такого же экстрасенса. На самом деле его учитель самый что ни на есть шарлатан и никакими способностями не обладает. Просто он нашел перспективного бойца с духами и делает на нем деньги. Кагеяму это особо не напрягает. Он так и живет, борется с духами и как всякий подросток пытается разобраться в жизни и найти в ней свой смысл."
743,743, Летняя буря! / Natsu no Arashi! [1-13 из 13], 2009," комедия, романтика, мистика, повседневность", ТВ, 13 (25 мин.)," Хазимэ Ясака приезжает в маленький городок к своему деду, отдохнуть на летних каникулах. Ему 13 и он выглядит намного слабее, чем есть на самом деле, но при этом очень изобретательный. В одной из местных кофеен под названием «Ковчег» парень знакомиться с Саеко Арасиямой, 16-летней официанткой этого заведения. Она невероятно веселая, непосредственная, а ее имя обозначает на японском «буря». Но кроме всех этих достоинств, она обладает особыми магическими способностями, какие главный герой испытал на себе. Какой-то посетитель, которого наняла семья девушки, пытается насильно вернуть ее домой. Он мужественно перенес опыт магической и физической силы, которую применили на нем. Отбившись от преступника, Ясаке и Араси селятся вместе у дедушки главного героя. Ребята сильно подружились и начали вдвоем работать в кофейне. Кроме них там «трудятся»"
